date,symbol,opening_price,high_price,low_price,closing_price
2010-01-04,ABB,138.2,138.6,137.6,138.6
2010-01-04,ALFA,100,101.6,99.45,101.3
2010-01-04,ALIV-SDB,314,316,311,312.5
2010-01-04,ASSA-B,46.067,47.167,46.033,47
2010-01-04,ATCO-A,106.2,107.4,105.7,107.1
2010-01-04,ATCO-B,94.55,95.4,93.95,95.05
2010-01-04,AXFO,52.875,52.875,52.5,52.5
2010-01-04,BOL,92.5,96,92.5,95.35
2010-01-04,DAX,5975.52,6048.30,5974.43,6048.30
2010-01-04,ELUX-A,175.5,175.5,174,174
2010-01-04,ELUX-B,168.5,170.4,167.3,169
2010-01-04,GLD,109.82,110.14,109.31,109.80
2010-01-04,HOLM-B,92.25,92.75,91.75,92.25
2010-01-04,HUSQ-B,53.25,56.75,53,55.75
2010-01-04,ICA,104.705,107.75,104.705,106.344
2010-01-04,NCC-B,117.5,122.5,117.5,122.5
2010-01-04,NDA-SEK,73.2,73.8,72.65,73.5
2010-01-04,NIBE-B,16.391,16.927,16.391,16.867
2010-01-04,OMX,951.72,964.73,951.72,963.56
2010-01-04,PEAB-B,46.3,47.5,46.2,47.5
2010-01-04,SAAB-B,117.25,117.5,115,115
2010-01-04,SAND,87.4,88.65,87.3,88.5
2010-01-04,SCA-B,96.05,96.6,95.75,96
2010-01-04,SEB-A,44.78,45.59,44.76,45.59
2010-01-04,SECU-B,70.5,71.5,70.3,71.45
2010-01-04,SHB-A,68.5,69.333,68.167,69.333
2010-01-04,SKA-B,122.3,123,121,122.8
2010-01-04,SKF-A,125.8,125.8,124.5,125.8
2010-01-04,SKF-B,124.5,125.8,124.2,125.6
2010-01-04,SLV,17.0500,17.2500,17.0200,17.2300
2010-01-04,SP500,1116.56,1133.87,1116.56,1132.99
2010-01-04,SSAB-A,123.3,127.7,123.2,127.4
2010-01-04,SSAB-B,82.033,84.963,81.96,84.67
2010-01-04,STE-R,50.75,51.25,50.5,51
2010-01-04,SWED-A,72.15,72.7,71.15,71.85
2010-01-04,TEL2-B,106.287,107.926,106.287,107.829
2010-01-04,TELIA,51.466,51.814,51.068,51.764
2010-01-04,TREL-B,54.5,54.75,54,54.5
2010-01-04,VIX,21.68,21.68,20.03,20.04
2010-01-04,VOLV-A,61.15,62.8,61.15,62.35
2010-01-04,VOLV-B,61.8,63.35,61.8,63.15
2010-01-04,USDSEK,7.1491,7.1747,7.0216,7.0493
2010-01-04,EURSEK,10.2475,10.2618,10.1298,10.1680
2010-01-05,ABB,138.7,139.6,138.5,139.1
2010-01-05,ALFA,101.7,102.6,100.6,101
2010-01-05,ALIV-SDB,313.5,318.5,313,317
2010-01-05,ASSA-B,47.133,47.267,46.6,47.267
2010-01-05,ATCO-A,107.1,107.5,105.8,106.3
2010-01-05,ATCO-B,95.1,95.4,94.15,94.9
2010-01-05,AXFO,52.875,52.875,52.125,52.375
2010-01-05,BOL,96,99.3,95.9,99.3
2010-01-05,DAX,6043.94,6058.02,6015.67,6031.86
2010-01-05,ELUX-A,177,178.7,176.3,178.7
2010-01-05,ELUX-B,170.2,175.5,169.7,174.3
2010-01-05,GLD,109.88,110.39,109.26,109.70
2010-01-05,HOLM-B,92.5,93.75,92.25,93.75
2010-01-05,HUSQ-B,56,56.25,55.5,56
2010-01-05,ICA,106.579,106.579,104.47,104.705
2010-01-05,NCC-B,122.25,123,121.5,122.5
2010-01-05,NDA-SEK,73.5,73.95,73.15,73.65
